Nombre,Procesador,RAM,Disco Duro,Pantalla,SO,Precio,Tarjeta Grafica
Microsoft Surface Go 3,Pentium Gold,8GB,128GB SSD,"10,5""",W11,1.849 €,Negro
Portátil Gaming MSI Pulse GL66 12UGK-465ES,i7,16GB,1TB SSD,"15,6""",W11,1.549 €,RTX3070 8GB
Portátil Gaming MSI Pulse GL66 12UGK-083XES,i7,32GB,1TB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,1.499 €,RTX3070 8GB
Portátil Gaming MSI Katana GF66 12UE-090ES,i7,16GB,1TB SSD,"14""",W11,2.349 €,RTX3060 6GB
Microsoft Surface Laptop 5,i7,8GB,256GB SSD,W11,Platino,1.999 €,"15"""
Portátil Gaming ASUS ROG Strix G15 G513RS-HQ018W,Ryzen 9,32GB,1TB SSD,"15,6""",W11,1.749 €,GeForce RTX 3080 8GB
Portátil Gaming ROG Zephyrus M16 GU603ZW-K8008W,i9,32GB,1TB SSD,"16""",W11,1.899 €,GeForce RTX 3070 Ti
Portátil HP Envy 16-h0004ns,i7,16GB,1TB SSD,"16""",W11,3.533 €,GeForce RTX 3060 6GB
Apple MacBook Pro 16 (2021),M1 Max,32GB,1TB SSD,MacOS,Plata,"719,20 €","16"""
Microsoft Surface Laptop 5,i5,8GB,512GB SSD,W11,Platino (Alcántara),2.249 €,"13,5"""
Microsoft Surface Pro 8,i7,16GB,256GB SSD,W11,Grafito,1.199 €,"13"""
Portátil Gaming MSI Stealth GS66 12UGS-002XES,i7,32GB,1TB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,"458,72 €",GeForce RTX 3070Ti 8GB
Microsoft Surface Pro 8,i7,16GB,1TB SSD,W11,Platino,"518,56 €","13"""
Microsoft Surface Pro X,Microsoft SQ1,8GB,256GB SSD,"13""",W11,"1.140,66 €",Wi-Fi
Portátil Gaming HP VICTUS 15-fa0009ns,i5,16GB,512GB SSD,"15,6""",FreeDOS / Sin Sistema Operativo,"1.217,88 €",GeForce RTX 3050 4GB
